Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CCL18	ENSG00000275385.1	22.895	0.27	4.234	1.30E-59
SNORA12	ENSG00000212464.1	17.64	0	4.22	3.96E-41
RN7SL1	ENSG00000276168.1	2064.89	110.376	4.213	2.08E-66
TMPRSS4	ENSG00000137648.16	80.423	3.46	4.19	1.84E-65
RMRP	ENSG00000277027.1	48.994	1.79	4.163	1.48E-55
CLDN1	ENSG00000163347.5	25.63	0.49	4.16	8.44E-99
GPRC5A	ENSG00000013588.5	182.917	9.42	4.142	8.05E-63
KIAA0101	ENSG00000166803.10	49.696	1.93	4.113	2.46E-101
CLRN3	ENSG00000180745.4	17.485	0.08	4.097	2.87E-62
SNORA48	ENSG00000209582.1	16.068	0	4.093	2.07E-23
RNU4-2	ENSG00000202538.1	77.286	3.67	4.067	4.00E-35
IGKV1D-33	ENSG00000239975.2	15.73	0	4.064	7.95E-25
RP11-603J24.9	ENSG00000257411.1	15.645	0	4.057	7.40E-48
CXCL1	ENSG00000163739.4	50.086	2.09	4.047	2.90E-54
MSLN	ENSG00000102854.14	31.665	0.98	4.044	5.61E-47
RP11-162P23.2	ENSG00000257767.2	30.42	0.96	4.003	1.99E-30
Metazoa_SRP	ENSG00000274012.1	2340.092	145.32	4	3.63E-55
IGHG2	ENSG00000211893.3	328.169	19.929	3.975	2.13E-35
CXCL9	ENSG00000138755.5	19.699	0.32	3.971	3.13E-65
CDC20	ENSG00000117399.13	39.454	1.61	3.954	7.39E-91
IL32	ENSG00000008517.16	364.948	22.83	3.941	2.39E-98
PRSS3	ENSG00000010438.16	87.141	4.89	3.904	1.23E-45
CXCL8	ENSG00000169429.10	30.63	1.13	3.892	1.77E-44
IGHG1	ENSG00000211896.6	2306.915	154.428	3.892	6.06E-40
TOP2A	ENSG00000131747.14	41.326	1.87	3.882	4.01E-106
MKI67	ENSG00000148773.12	25.86	0.83	3.876	6.53E-108
CH507-513H4.3	ENSG00000281181.1	5577.681	382.283	3.863	4.84E-41
CH507-513H4.4	ENSG00000280614.1	5577.681	382.283	3.863	4.84E-41
CH507-513H4.6	ENSG00000280800.1	5577.681	382.283	3.863	4.86E-41
RP11-290L1.3	ENSG00000257453.1	13.455	0	3.854	5.76E-39
CCNB2	ENSG00000157456.7	27.139	0.96	3.844	3.61E-107
MMP12	ENSG00000262406.2	13.867	0.04	3.837	7.07E-52
FOXM1	ENSG00000111206.12	32.375	1.35	3.828	1.42E-108
LGALS4	ENSG00000171747.8	561.385	38.929	3.816	3.44E-39
COL10A1	ENSG00000123500.9	13.645	0.05	3.802	7.41E-69
MMP11	ENSG00000099953.9	31.224	1.32	3.796	6.70E-80
SFRP4	ENSG00000106483.11	21.951	0.68	3.772	2.10E-47
TRIM29	ENSG00000137699.16	24.145	0.84	3.772	1.74E-38
GCNT3	ENSG00000140297.12	42.709	2.21	3.767	3.86E-33
SULF1	ENSG00000137573.13	56.437	3.25	3.756	5.23E-69
CKS2	ENSG00000123975.4	109.004	7.33	3.723	1.07E-113
CDX2	ENSG00000165556.9	12	0.01	3.686	2.47E-48
EPHB2	ENSG00000133216.16	17.515	0.44	3.685	2.22E-82
MDK	ENSG00000110492.15	399.208	30.21	3.681	1.36E-98
RN7SK	ENSG00000202198.1	200.116	14.93	3.658	1.55E-56
PPP1R1B	ENSG00000131771.13	68.055	4.51	3.648	7.67E-27
METTL7B	ENSG00000170439.6	17.545	0.49	3.638	1.84E-83
RNU1-28P	ENSG00000206588.1	64.208	4.28	3.626	1.16E-42
RNU1-1	ENSG00000206652.1	64.208	4.28	3.626	1.16E-42
RNVU1-18	ENSG00000206737.1	64.208	4.28	3.626	1.16E-42
RNU1-3	ENSG00000207513.1	64.208	4.28	3.626	1.16E-42
PLEKHS1	ENSG00000148735.14	12.955	0.14	3.614	8.62E-61
RAC1P2	ENSG00000249936.3	44.683	2.74	3.611	8.33E-86
RNU1-27P	ENSG00000206596.1	63.924	4.33	3.607	1.92E-42
RNU1-2	ENSG00000207005.1	63.924	4.33	3.607	1.92E-42
RNU1-4	ENSG00000207389.1	63.924	4.33	3.607	1.92E-42
U1	ENSG00000273768.1	63.924	4.33	3.607	1.92E-42
CDCA7	ENSG00000144354.13	27.241	1.33	3.599	8.37E-95
CENPF	ENSG00000117724.12	23.275	1.03	3.58	1.81E-95
CDK1	ENSG00000170312.15	30.709	1.67	3.57	1.67E-101
PTTG1	ENSG00000164611.12	54.119	3.65	3.567	7.23E-100
PHLDA2	ENSG00000181649.5	69.917	5.01	3.561	1.75E-64
IGHG3	ENSG00000211897.7	191.267	15.32	3.558	2.18E-29
SNORD17	ENSG00000212232.1	16.66	0.51	3.548	9.12E-73
CDHR5	ENSG00000099834.18	31.554	1.79	3.544	1.21E-40
KRT17	ENSG00000128422.15	15.16	0.39	3.539	5.36E-34
ETV4	ENSG00000175832.12	19.775	0.82	3.513	8.38E-83
CDT1	ENSG00000167513.8	18.644	0.74	3.497	5.71E-96
CXCL10	ENSG00000169245.5	15.93	0.51	3.487	4.01E-58
ANLN	ENSG00000011426.10	21.94	1.05	3.484	2.25E-110
NUSAP1	ENSG00000137804.12	31.42	1.91	3.478	3.14E-97
CXCL5	ENSG00000163735.6	12.475	0.21	3.477	1.17E-23
TACSTD2	ENSG00000184292.6	66.134	5.07	3.467	1.08E-27
CTHRC1	ENSG00000164932.12	29.58	1.77	3.465	2.80E-91
SPP1	ENSG00000118785.13	47.929	3.49	3.446	6.37E-45
FERMT1	ENSG00000101311.15	26.65	1.54	3.444	6.25E-90
IL2RG	ENSG00000147168.12	73.963	5.93	3.435	2.74E-70
UBE2T	ENSG00000077152.9	30.215	1.91	3.423	2.31E-114
AC005943.2	ENSG00000267059.2	10.595	0.09	3.411	1.36E-44
ASF1B	ENSG00000105011.8	19.499	0.93	3.409	7.82E-101
HKDC1	ENSG00000156510.12	11.425	0.18	3.396	8.12E-68
FUT3	ENSG00000171124.12	30.635	2.02	3.389	2.13E-22
SKA3	ENSG00000165480.15	12.485	0.29	3.386	1.75E-121
AP003391.1	ENSG00000281272.1	19.07	0.93	3.378	4.78E-14
CEP55	ENSG00000138180.15	14.885	0.53	3.376	3.46E-116
BUB1	ENSG00000169679.14	13.945	0.44	3.376	1.60E-110
NEK2	ENSG00000117650.12	12.455	0.3	3.372	2.06E-107
GJB2	ENSG00000165474.5	21.769	1.2	3.372	2.14E-56
MMP9	ENSG00000100985.7	15.03	0.55	3.37	1.06E-68
INHBA	ENSG00000122641.9	12.27	0.29	3.363	1.03E-93
TNS4	ENSG00000131746.12	11.854	0.25	3.362	2.88E-38
MYO7B	ENSG00000169994.18	15.905	0.66	3.348	1.69E-32
RP11-357H14.17	ENSG00000272763.1	9.12	0	3.339	1.08E-65
CCNB1	ENSG00000134057.14	41.844	3.24	3.337	1.08E-87
HOXA10	ENSG00000253293.4	9.75	0.07	3.329	1.77E-65
MUC17	ENSG00000169876.13	9.084	0.01	3.32	1.41E-29
PRR11	ENSG00000068489.12	13.89	0.5	3.311	4.54E-129
AGR3	ENSG00000173467.8	75.285	6.7	3.308	7.26E-29
TRIM15	ENSG00000204610.12	9.085	0.02	3.306	3.41E-82
FUT6	ENSG00000156413.13	9.565	0.07	3.304	5.20E-29
SNORA7B	ENSG00000207088.1	8.865	0	3.302	5.70E-29
MXRA5	ENSG00000101825.7	28.15	1.97	3.295	6.86E-87
PLS1	ENSG00000120756.12	52.135	4.42	3.293	1.91E-66
KRT7	ENSG00000135480.14	51.173	4.33	3.291	4.24E-27
BGN	ENSG00000182492.15	202.579	19.87	3.286	9.70E-74
MCM4	ENSG00000104738.16	67.388	6.02	3.284	1.07E-98
GRIN2D	ENSG00000105464.3	9.71	0.1	3.283	2.85E-89
MELK	ENSG00000165304.7	13.22	0.47	3.274	1.66E-101
THBS2	ENSG00000186340.14	22.67	1.45	3.272	1.04E-47
SLC5A1	ENSG00000100170.9	11.695	0.33	3.255	1.78E-28
PLK1	ENSG00000166851.14	33.871	2.66	3.252	3.84E-93
AURKB	ENSG00000178999.12	22.635	1.48	3.252	3.36E-81
MALAT1	ENSG00000251562.7	1501.094	156.649	3.252	4.14E-54
MYEOV	ENSG00000172927.7	22.24	1.45	3.246	9.70E-41
DDC	ENSG00000132437.17	14.94	0.68	3.246	1.44E-39
TRIM31	ENSG00000204616.10	33.675	2.67	3.24	5.24E-41
CDKN3	ENSG00000100526.19	25.48	1.84	3.221	2.38E-106
PBK	ENSG00000168078.9	11.58	0.35	3.22	4.76E-89
BIRC5	ENSG00000089685.14	16.33	0.86	3.22	3.19E-75
PKMYT1	ENSG00000127564.16	20.659	1.33	3.217	9.82E-97
ECT2	ENSG00000114346.13	32.18	2.57	3.216	4.39E-112
SCARNA7	ENSG00000238741.1	12.285	0.43	3.216	8.50E-57
RP11-544M22.13	ENSG00000270149.5	9.565	0.15	3.2	3.96E-44
SLC39A5	ENSG00000139540.11	11.41	0.36	3.19	4.52E-36
TMEM189-UBE2V1	ENSG00000124208.16	15.355	0.8	3.184	1.15E-66
POF1B	ENSG00000124429.17	26.605	2.06	3.173	2.87E-62
TMEM238	ENSG00000233493.3	36.44	3.16	3.17	5.81E-85
APOC1	ENSG00000130208.9	78.083	7.79	3.169	2.27E-80
HMGA1	ENSG00000137309.19	319.085	34.611	3.168	1.12E-83
MAD2L1	ENSG00000164109.13	21.82	1.54	3.167	7.30E-107
OR2I1P	ENSG00000237988.3	9.055	0.12	3.166	2.97E-62
KLF5	ENSG00000102554.13	164.3	17.54	3.156	6.53E-67
CLDN2	ENSG00000165376.10	9.41	0.17	3.153	1.07E-37
LAMC2	ENSG00000058085.14	31.749	2.71	3.142	2.24E-67
PMEPA1	ENSG00000124225.15	60.239	5.96	3.137	1.74E-70
CDH3	ENSG00000062038.13	15.365	0.86	3.137	6.07E-67
RN7SKP54	ENSG00000222636.1	7.785	0	3.135	2.36E-25
APOC4-APOC2	ENSG00000224916.8	9.964	0.27	3.11	8.10E-59
AGMAT	ENSG00000116771.5	9.18	0.19	3.097	7.51E-92
IFI6	ENSG00000126709.14	282.801	32.199	3.096	8.30E-62
HLA-DQA1	ENSG00000196735.11	48.878	4.84	3.094	6.22E-40
RNVU1-7	ENSG00000206585.1	20.769	1.55	3.094	3.90E-13
CDX1	ENSG00000113722.16	7.825	0.04	3.085	1.13E-24
S100A10	ENSG00000197747.8	1059.559	124.516	3.079	2.65E-74
COL1A1	ENSG00000108821.13	521.364	61.002	3.075	1.16E-59
HMMR	ENSG00000072571.19	11.125	0.46	3.054	2.08E-100
EPCAM	ENSG00000119888.10	402.054	47.53	3.054	4.85E-72
ZWINT	ENSG00000122952.16	27.775	2.47	3.052	1.01E-85
SAPCD2	ENSG00000186193.8	15.24	0.96	3.051	3.32E-90
CCL15	ENSG00000275718.1	7.695	0.05	3.05	9.60E-54
LMNB1	ENSG00000113368.11	26.816	2.36	3.049	5.95E-96
KIF11	ENSG00000138160.5	11.135	0.47	3.045	4.36E-116
AURKA	ENSG00000087586.17	22.185	1.82	3.039	3.63E-90
KCNE3	ENSG00000175538.10	39.086	3.88	3.038	5.36E-53
GJB3	ENSG00000188910.7	12.705	0.68	3.028	1.47E-47
HOXC10	ENSG00000180818.4	7.315	0.02	3.027	4.58E-43
DLGAP5	ENSG00000126787.12	9.265	0.26	3.026	6.06E-102
CCNA2	ENSG00000145386.9	18.455	1.4	3.019	7.17E-95
APOE	ENSG00000130203.9	191.605	22.841	3.014	3.06E-63
KIF20A	ENSG00000112984.11	10.535	0.44	3.002	2.67E-108
CDCA5	ENSG00000146670.9	13.55	0.83	2.991	1.39E-88
RP11-284F21.7	ENSG00000229953.1	9.845	0.38	2.974	1.84E-57
CH507-513H4.5	ENSG00000281383.1	9.81	0.39	2.959	1.65E-46
BAIAP2L2	ENSG00000128298.16	27.06	2.61	2.958	5.54E-67
SNORD15B	ENSG00000207445.1	6.705	0	2.946	9.45E-18
IQGAP3	ENSG00000183856.10	12.095	0.7	2.945	9.57E-78
HNF4A	ENSG00000101076.16	40.434	4.4	2.94	5.65E-67
CCL15-CCL14	ENSG00000275688.4	10.205	0.46	2.94	4.27E-46
TROAP	ENSG00000135451.12	17.4	1.41	2.933	2.65E-75
KIFC1	ENSG00000237649.7	13.345	0.88	2.932	3.79E-82
MIR3648-2	ENSG00000264462.1	6.605	0	2.927	1.78E-50
MIR3648-1	ENSG00000275708.1	6.605	0	2.927	1.78E-50
CEACAM1	ENSG00000079385.21	34.005	3.61	2.925	8.67E-48
ESPN	ENSG00000187017.14	14.215	1.01	2.92	3.17E-32
MYB	ENSG00000118513.18	9.385	0.38	2.912	8.96E-71
MEST	ENSG00000106484.14	28.325	2.9	2.911	1.73E-97
RP11-2K6.1	ENSG00000279225.1	24.185	2.35	2.91	9.26E-58
TFAP2A	ENSG00000137203.10	10.115	0.48	2.909	6.71E-58
MALL	ENSG00000144063.3	31.519	3.33	2.909	6.59E-32
PLBD1	ENSG00000121316.10	59.999	7.15	2.904	1.83E-66
UHRF1	ENSG00000276043.4	10.065	0.48	2.902	7.32E-91
KIF2C	ENSG00000142945.12	12.73	0.84	2.9	2.95E-96
OAS3	ENSG00000111331.12	30.915	3.3	2.892	1.50E-81
TIMP1	ENSG00000102265.11	860.391	115.223	2.89	2.06E-77
CXCL13	ENSG00000156234.7	13.885	1.01	2.889	9.44E-35
CDC6	ENSG00000094804.9	10.39	0.54	2.887	1.02E-74
OAS1	ENSG00000089127.12	70.265	8.66	2.883	1.86E-47
SNORD118	ENSG00000200463.1	6.375	0	2.883	1.31E-17
CAMK2N1	ENSG00000162545.5	62.089	7.56	2.882	6.65E-39
CDCA8	ENSG00000134690.10	15.045	1.18	2.88	3.71E-89
MGAM2	ENSG00000257743.8	6.8	0.06	2.879	6.10E-44
LY6E	ENSG00000160932.10	350.652	46.99	2.873	1.36E-76
TRABD2A	ENSG00000186854.10	9.765	0.47	2.872	2.49E-57
PDX1	ENSG00000139515.5	6.72	0.07	2.851	1.16E-58
ASCL2	ENSG00000183734.4	8.575	0.33	2.848	3.22E-43
MACC1	ENSG00000183742.12	11.16	0.69	2.847	6.09E-74
ATP10B	ENSG00000118322.12	10.505	0.6	2.846	8.38E-32
CENPA	ENSG00000115163.14	8.695	0.35	2.844	7.53E-94
FAM83H	ENSG00000180921.6	49.74	6.08	2.841	7.87E-80
ANXA13	ENSG00000104537.16	7.95	0.26	2.828	2.02E-32
FNDC1	ENSG00000164694.16	6.864	0.11	2.825	1.98E-57
TYMS	ENSG00000176890.15	37.314	4.41	2.824	2.08E-84
NCAPG	ENSG00000109805.9	8.815	0.39	2.82	2.32E-94
APOC2	ENSG00000234906.8	6.975	0.13	2.819	7.45E-61
KIF18B	ENSG00000186185.13	8.73	0.38	2.818	9.30E-83
HOXB7	ENSG00000260027.4	18.65	1.79	2.816	1.79E-41
LUM	ENSG00000139329.4	299.621	41.72	2.815	1.77E-46
SNORA47	ENSG00000238961.1	6.01	0	2.809	9.21E-14
TRIP13	ENSG00000071539.13	10.675	0.68	2.797	3.58E-102
EFNA2	ENSG00000099617.3	5.93	0	2.793	5.66E-46
Metazoa_SRP	ENSG00000278771.1	6.885	0.14	2.79	1.12E-53
NMU	ENSG00000109255.11	8.07	0.32	2.781	8.85E-34
PPP1R14D	ENSG00000166143.9	6.959	0.16	2.779	2.03E-30
DTL	ENSG00000143476.17	8.165	0.34	2.774	1.14E-104
C2	ENSG00000166278.14	33.794	4.09	2.773	5.38E-68
DEPDC1B	ENSG00000035499.12	8.42	0.38	2.771	1.45E-100
CHI3L1	ENSG00000133048.12	18.595	1.87	2.771	1.30E-33
GDA	ENSG00000119125.16	7.035	0.18	2.768	1.45E-37
FABP1	ENSG00000163586.9	9.355	0.52	2.768	3.39E-09
SOX9	ENSG00000125398.5	64.435	8.62	2.766	4.22E-93
CENPM	ENSG00000100162.14	15.12	1.37	2.766	9.91E-73
LTB	ENSG00000227507.2	14.91	1.35	2.759	5.56E-58
HLA-DRA	ENSG00000204287.13	587.135	86.007	2.757	1.40E-42
NUF2	ENSG00000143228.12	9.675	0.58	2.756	4.99E-96
CKAP2	ENSG00000136108.14	17.78	1.79	2.751	1.16E-110
NCAPH	ENSG00000121152.9	9.905	0.62	2.751	2.68E-87
PIK3AP1	ENSG00000155629.14	11.215	0.82	2.747	1.68E-95
MYH14	ENSG00000105357.15	88.232	12.34	2.742	2.96E-68
MIR4435-2HG	ENSG00000172965.14	45.965	6.05	2.736	3.70E-105
CDCA3	ENSG00000111665.11	23.41	2.67	2.734	3.13E-77
EPSTI1	ENSG00000133106.14	20.829	2.28	2.734	1.47E-69
HLA-DPA1	ENSG00000231389.7	195.448	28.61	2.73	2.77E-41
CALML4	ENSG00000129007.14	50.611	6.8	2.726	7.99E-57
FCGR3A	ENSG00000203747.9	21.615	2.42	2.725	1.47E-48
VDR	ENSG00000111424.10	14.26	1.31	2.724	2.41E-63
MMP1	ENSG00000196611.4	33.401	4.23	2.718	1.43E-23
HJURP	ENSG00000123485.11	9.39	0.58	2.717	1.00E-86
TREM2	ENSG00000095970.16	8.46	0.44	2.716	2.90E-84
TK1	ENSG00000167900.11	49.06	6.65	2.71	4.31E-73
ARHGAP11A	ENSG00000198826.10	10.2	0.72	2.703	3.95E-96
HN1	ENSG00000189159.15	206.779	30.95	2.701	5.30E-67
RMI2	ENSG00000175643.8	13.42	1.22	2.699	3.40E-97
BUB1B	ENSG00000156970.12	9.455	0.61	2.699	1.96E-92
COL1A2	ENSG00000164692.17	406.172	61.742	2.698	9.63E-47
KLK10	ENSG00000129451.11	11.84	0.98	2.697	2.10E-23
SDS	ENSG00000135094.10	7.575	0.33	2.689	9.45E-68
FAM83H-AS1	ENSG00000203499.10	22.725	2.68	2.689	1.70E-66
HELLS	ENSG00000119969.14	13.56	1.26	2.688	8.23E-114
LINC00483	ENSG00000167117.8	5.99	0.09	2.681	7.21E-29
MCM2	ENSG00000073111.13	20.644	2.43	2.658	1.76E-95
CDC45	ENSG00000093009.9	9.2	0.62	2.654	1.02E-83
NRARP	ENSG00000198435.3	29.82	3.9	2.653	1.31E-73
SNX10	ENSG00000086300.15	10.31	0.8	2.652	1.13E-105
F12	ENSG00000131187.9	7.735	0.39	2.652	4.26E-56
PLEK2	ENSG00000100558.8	28.61	3.71	2.652	1.23E-53
SPARC	ENSG00000113140.10	769.538	121.65	2.651	2.06E-48
PLA2G7	ENSG00000146070.16	6.9	0.26	2.648	3.40E-88
ITGA2	ENSG00000164171.10	11.53	1	2.647	8.96E-66
LAMP3	ENSG00000078081.7	6.445	0.19	2.645	8.13E-78
MET	ENSG00000105976.14	22.334	2.73	2.645	1.00E-76
DSG2	ENSG00000046604.12	65.19	9.58	2.645	3.40E-64
CD55	ENSG00000196352.13	128.483	19.84	2.635	3.04E-44
IDO1	ENSG00000131203.12	8.064	0.46	2.634	3.04E-40
OAS2	ENSG00000111335.12	29.28	3.89	2.63	1.29E-56
MTDH	ENSG00000147649.9	86.927	13.23	2.627	8.28E-117
GGH	ENSG00000137563.11	28.52	3.79	2.624	2.05E-60
TNFRSF6B	ENSG00000243509.4	16.38	1.82	2.624	8.15E-32
CXCL3	ENSG00000163734.4	26.369	3.44	2.624	2.81E-29
SH3BP1	ENSG00000100092.20	25.934	3.38	2.62	3.31E-69
IL22RA1	ENSG00000142677.3	9.93	0.78	2.618	2.83E-44
PRR7	ENSG00000131188.11	10.905	0.94	2.617	3.84E-97
ASPM	ENSG00000066279.16	6.59	0.24	2.614	3.65E-100
LYZ	ENSG00000090382.6	904.984	147.083	2.613	2.63E-27
GNL3L	ENSG00000130119.15	17.48	2.04	2.604	1.66E-121
HOXB9	ENSG00000170689.9	5.185	0.02	2.6	7.26E-57
CRIP1	ENSG00000213145.9	244.086	39.45	2.599	1.47E-48
APLNR	ENSG00000134817.10	11.77	1.11	2.597	1.13E-60
LY75	ENSG00000054219.10	14.535	1.57	2.596	1.46E-83
CXCL16	ENSG00000161921.14	107.903	17.03	2.595	4.58E-93
CCL4L2	ENSG00000276070.4	9.41	0.73	2.589	5.44E-52
HNF4G	ENSG00000164749.11	12.74	1.29	2.585	1.75E-60
ZNF703	ENSG00000183779.6	46.56	6.93	2.584	3.85E-31
LINC01296	ENSG00000244306.9	6.37	0.23	2.583	4.51E-54
JUP	ENSG00000173801.16	256.372	42.039	2.58	3.88E-56
LGALS2	ENSG00000100079.6	14.505	1.6	2.576	1.16E-34
NDC80	ENSG00000080986.12	9.31	0.73	2.575	1.38E-93
GPA33	ENSG00000143167.11	5.413	0.08	2.57	1.02E-21
RAB11FIP1	ENSG00000156675.15	44.18	6.64	2.564	1.04E-56
MFAP2	ENSG00000117122.13	27.86	3.88	2.564	1.24E-44
KIF4A	ENSG00000090889.11	6.435	0.26	2.561	4.77E-91
TTK	ENSG00000112742.9	8.01	0.53	2.558	7.36E-85
SLC27A2	ENSG00000140284.10	7.24	0.4	2.557	2.58E-63
THY1	ENSG00000154096.13	81.676	13.1	2.552	3.46E-48
DIO2	ENSG00000211448.11	12.225	1.26	2.549	2.75E-73
SGOL1	ENSG00000129810.14	6.305	0.25	2.547	1.11E-105
COL8A1	ENSG00000144810.15	13.424	1.48	2.54	4.93E-36
RAD51AP1	ENSG00000111247.14	9.61	0.83	2.536	1.38E-100
RAD51	ENSG00000051180.16	8.625	0.66	2.536	3.36E-94
SLC6A14	ENSG00000268104.2	5.085	0.05	2.535	1.40E-33
CD74	ENSG00000019582.14	2049.916	353.189	2.534	3.40E-45
SPINK4	ENSG00000122711.8	5.77	0.17	2.533	7.08E-16
CTSS	ENSG00000163131.10	111.021	18.39	2.53	1.48E-47
TMEM150B	ENSG00000180061.9	8.175	0.59	2.529	5.14E-41
KLK1	ENSG00000167748.10	9.36	0.8	2.525	2.10E-26
SPC25	ENSG00000152253.8	8.165	0.6	2.518	2.85E-96
F2R	ENSG00000181104.6	21.78	2.98	2.517	3.38E-98
FCER1G	ENSG00000158869.10	131.342	22.119	2.517	4.57E-54
PSMB9	ENSG00000240065.7	98.502	16.45	2.512	1.86E-62
KPNA2	ENSG00000182481.8	70.065	11.47	2.511	6.77E-101
FAP	ENSG00000078098.13	9.54	0.85	2.51	7.73E-55
HMGB3	ENSG00000029993.14	36.794	5.64	2.509	3.88E-89
CASC5	ENSG00000137812.19	6.345	0.29	2.509	3.18E-88
ISG15	ENSG00000187608.8	94.163	15.78	2.504	1.85E-53
TUBA1C	ENSG00000167553.14	460.592	80.671	2.499	5.50E-75
ANKS4B	ENSG00000175311.6	5.095	0.08	2.497	3.80E-57
CTSC	ENSG00000109861.15	127.773	21.84	2.495	5.78E-87
PTBP3	ENSG00000119314.15	43.885	6.99	2.49	2.26E-92
CENPU	ENSG00000151725.11	12.555	1.42	2.486	3.35E-83
PLAUR	ENSG00000011422.11	63.542	10.58	2.479	1.41E-51
GABRP	ENSG00000094755.16	6.789	0.4	2.476	2.37E-24
STIL	ENSG00000123473.15	7.165	0.47	2.474	1.60E-96
LYN	ENSG00000254087.7	30.749	4.72	2.473	9.18E-80
CFTR	ENSG00000001626.14	6.885	0.42	2.473	7.35E-35
C1orf106	ENSG00000163362.10	54.294	9	2.467	5.81E-54
PRR15	ENSG00000176532.3	34.809	5.48	2.466	3.90E-50
ASPN	ENSG00000106819.11	18.61	2.56	2.462	6.01E-27
CCND1	ENSG00000110092.3	77.366	13.28	2.456	2.39E-59
ESCO2	ENSG00000171320.14	6.33	0.34	2.452	2.02E-73
TMSB4XP4	ENSG00000223551.1	16.115	2.13	2.451	1.48E-39
TMEM45B	ENSG00000151715.7	64.281	10.95	2.45	1.72E-36
GINS1	ENSG00000101003.9	6.53	0.38	2.448	2.37E-96
KDELR3	ENSG00000100196.10	42.951	7.07	2.445	2.33E-80
OLFML2B	ENSG00000162745.10	13.05	1.58	2.445	7.86E-51
DHFRP1	ENSG00000188985.6	8.355	0.72	2.443	1.77E-52
OIP5	ENSG00000104147.8	6.425	0.37	2.438	3.58E-90
ARSE	ENSG00000157399.14	12.275	1.46	2.432	3.23E-48
MDFI	ENSG00000112559.13	19.805	2.88	2.423	8.51E-59
CHURC1-FNTB	ENSG00000125954.12	5.755	0.26	2.423	1.37E-27
CYBA	ENSG00000051523.10	324.865	59.821	2.422	1.36E-72
C15orf48	ENSG00000166920.10	69.237	12.11	2.422	2.63E-26
CTD-2510F5.4	ENSG00000265415.1	4.76	0.08	2.415	1.07E-93
ILDR1	ENSG00000145103.12	4.65	0.06	2.414	5.38E-94
ATP2C2	ENSG00000064270.12	9.96	1.06	2.412	8.91E-35
PRC1	ENSG00000198901.13	34.471	5.67	2.411	1.20E-74
COL12A1	ENSG00000111799.20	36.309	6.02	2.41	7.29E-38
KIAA1211	ENSG00000109265.12	5.905	0.3	2.409	4.90E-69
RP11-841O20.2	ENSG00000258757.1	7.81	0.66	2.408	7.43E-31
TTYH3	ENSG00000136295.14	52.864	9.18	2.404	2.83E-87
S100A11	ENSG00000163191.5	1543.456	291.226	2.402	9.72E-63
MARVELD3	ENSG00000140832.9	12.725	1.6	2.4	4.66E-82
AP1S3	ENSG00000152056.16	11.375	1.35	2.397	1.27E-77
COL3A1	ENSG00000168542.12	344.174	64.69	2.394	4.18E-41
CHEK1	ENSG00000149554.12	12.02	1.48	2.392	1.46E-107
