p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CXCL16	7.1756139062181e-94	1.39029940407403	0.864	0.312	1.33129164802064e-89
CD55	1.04416542492142e-93	1.72513623349266	0.804	0.135	1.93724011285671e-89
RPL27A	2.95935627669056e-93	0.974168867849708	1	0.986	5.490493700144e-89
LINC00982	7.48941008548644e-93	-0.49003210702364	0.036	0.365	1.3895102531603e-88
SCD5	7.78754101823848e-93	-0.315243064682055	0.01	0.247	1.44482248511379e-88
SULT1C2	1.16008369238614e-92	-1.21654996958227	0.161	0.642	2.152303274484e-88
SCG5	1.99506609631e-92	-0.4313770392669	0.013	0.264	3.70144612848395e-88
CLDN3	8.25473167271663e-92	1.62697215718761	0.768	0.094	1.53150036723912e-87
PTPRZ1	3.97775851114711e-91	-0.374600428501165	0.011	0.25	7.37993536573124e-87
DKK3	2.54638326977304e-90	-0.70749964120953	0.101	0.538	4.72430488040991e-86
PLEKHB1	5.79250524406704e-90	-0.652068713517318	0.064	0.441	1.07468349793176e-85
MT-CYB	1.73423444238566e-88	0.94421057109893	1	1	3.21752516095812e-84
TCEAL9	2.88597696599447e-88	-0.630115069024522	0.103	0.542	5.35435306500953e-84
ATP5MC2	4.53319477872673e-88	0.871467139423764	0.999	0.997	8.4104362729717e-84
TBXAS1	1.53618010902879e-87	-0.783331054169176	0.156	0.632	2.85007495628112e-83
PIR	2.54568887472975e-87	-0.943033465520572	0.238	0.733	4.72301656928611e-83
LGALS3	2.96091010400162e-87	1.06035486801311	1	0.997	5.4933765159542e-83
ZNF655	4.2839235165001e-87	-0.438174266654453	0.037	0.358	7.94796330016263e-83
SAMD5	1.28788782951392e-86	-0.475976249578154	0.046	0.382	2.38941829009718e-82
TNFRSF12A	5.12034304038579e-86	1.65171728609658	0.932	0.434	9.49977244282776e-82
CEP85L	6.73765851969534e-86	-0.361303605887707	0.02	0.285	1.25003778515908e-81
ARMCX1	6.88278606890238e-86	-0.244857295130391	0.002	0.181	1.27696329936346e-81
SULT1A1	3.49060096926582e-85	-0.823158749135195	0.196	0.688	6.47611197827887e-81
RPL9	6.01963439229461e-85	-0.688093437673926	0.999	1	1.11682276880242e-80
KRBOX1	1.62708226786287e-84	-0.273928533673724	0.004	0.194	3.01872573156599e-80
SLC9A4	5.30586567938806e-84	-0.535830744167223	0.06	0.42	9.84397259496867e-80
GOLGA8A	1.25988446992434e-83	-0.773641255038022	0.107	0.521	2.33746365705063e-79
LRMDA	2.68472160566658e-83	-0.477480987316003	0.05	0.389	4.9809639949932e-79
HLA-DMA	3.4558140448786e-82	-0.943808857907769	0.248	0.74	6.41157179746326e-78
SMARCA1	4.85092869654299e-82	-0.549287616976034	0.061	0.417	8.9999280106962e-78
MT1E	2.29581591998161e-81	-0.97278915443747	0.187	0.663	4.25942727634189e-77
CAMK2N1	3.10398622608421e-81	1.16335868403016	0.983	0.837	5.75882564525403e-77
SUMO2	3.56363850243117e-81	0.823192481748123	1	0.979	6.61161851356055e-77
ETV5	4.31526404949221e-81	-0.557990013330226	0.063	0.417	8.0061093910229e-77
TRIM44	1.50605312206586e-80	-0.573929819748774	0.089	0.486	2.79418035736879e-76
RPS10	2.13335367487077e-80	-0.75282964105792	1	1	3.95801107298774e-76
CEBPB	2.36628788637213e-80	1.23077954355656	0.922	0.559	4.39017391558622e-76
CHRM3	2.41524843072394e-80	-0.393691269851298	0.026	0.299	4.48101041352212e-76
RPL18A	5.4534630966131e-80	0.597437451701921	1	1	1.01178100831463e-75
CMPK1	1.81997988157224e-79	1.02561738236136	0.971	0.774	3.37660867428098e-75
FAM92A	2.71490341455139e-79	-0.339088012206229	0.023	0.285	5.0369603050172e-75
UTRN	2.92599337282064e-79	-0.486264933073342	0.068	0.431	5.42859550459413e-75
BEX4	4.36849462284598e-79	-0.42788581002198	0.025	0.288	8.10486807376615e-75
CLDN7	4.42061811191044e-79	1.34528164356453	0.973	0.795	8.20157278302744e-75
FCGBP	5.89622881109004e-79	-1.10125305849273	0.048	0.365	1.09392733132153e-74
TUBB2A	7.04340862543879e-79	1.46888340126474	0.793	0.188	1.30676360227766e-74
TUSC3	7.16607304815244e-79	-0.37981844714461	0.024	0.285	1.32952153262372e-74
FGFRL1	9.41354140513951e-79	-0.572192836636794	0.107	0.524	1.74649433689553e-74
TACSTD2	2.71126204098879e-78	1.66014910365943	0.95	0.635	5.03020446464651e-74
LGALS3BP	4.60601510093741e-78	-0.908433239315908	0.943	0.997	8.54553981676917e-74
PHGDH	8.89317346737506e-78	-0.852871300744574	0.155	0.611	1.64995047340209e-73
CXCL5	1.09100470639915e-77	-2.09429286623938	0.086	0.458	2.02414103178235e-73
RAB11FIP1	1.33068247741195e-77	1.31242478598463	0.948	0.642	2.46881520034239e-73
GPX4	1.96735270618034e-77	1.31510085291673	0.999	0.99	3.65002947577639e-73
JPT1	4.08495899357629e-77	1.1030930419754	0.993	0.868	7.57882442078208e-73
MAP1LC3B	5.46563277710511e-77	1.33114449176767	0.915	0.535	1.01403884913631e-72
GALNT10	7.10983075669673e-77	-0.477634198614644	0.061	0.403	1.31908690028994e-72
REG3A	7.21934724265039e-77	-2.99450591975287	0.001	0.156	1.33940549392893e-72
NUPR2	8.18471749107404e-77	-0.255512103320425	0.006	0.191	1.51851063611897e-72
EIF4A2	9.10065138737778e-77	1.22979252129823	0.979	0.892	1.6884438519002e-72
TNS4	1.39020629110609e-76	-0.885152549440072	0.217	0.688	2.57924973188912e-72
LDHA	2.33656071722339e-76	1.1154074754906	0.996	0.951	4.33502109866456e-72
KRT10	2.73698113877373e-76	0.968260979208148	0.974	0.844	5.07792110676691e-72
FERMT1	3.2489909500579e-76	-0.878388037586	0.31	0.788	6.02785290964243e-72
SERPINA4	3.58988847313497e-76	-0.552380743722603	0.106	0.514	6.66032008420732e-72
FSCN1	6.35918293247811e-76	-0.555862168836767	0.112	0.531	1.17981920946266e-71
SEL1L3	8.39360990353398e-76	-0.755323407042981	0.202	0.667	1.55726644540266e-71
JUNB	8.72323183054459e-76	1.39887360088066	0.889	0.403	1.61842120152094e-71
S100A13	1.0001823505309e-75	-0.879251933311729	0.369	0.823	1.85563831493997e-71
PYGB	1.58513534726034e-75	-0.739619490040548	0.216	0.691	2.9409016097721e-71
NME5	2.95210965071329e-75	-0.234556716718414	0.003	0.17	5.47704903496837e-71
SLC25A3	3.44155922010839e-75	0.806034216095744	0.999	0.983	6.3851248210671e-71
BDH2	4.59333032067405e-75	-0.653498946130169	0.171	0.632	8.52200574394657e-71
EPHX3	4.82298980597219e-75	-0.207610450699758	0.001	0.153	8.94809298702021e-71
MT-ND4	4.53047497015233e-74	0.718571897907464	1	1	8.40539021212361e-70
SDC3	7.80402025267423e-74	-0.354853783969709	0.021	0.26	1.44787987747865e-69
RPS15	1.00138137658046e-73	0.524746912939164	1	1	1.85786286796972e-69
COX6C	1.59113829092752e-73	-0.836512240477726	0.974	1	2.95203887115783e-69
FAM161A	2.01588147764788e-73	-0.380005052160717	0.035	0.316	3.74006490548011e-69
RNF7	1.61341487135437e-72	0.93795784827667	0.958	0.701	2.99336861082377e-68
LRP5	2.11865826037456e-72	-0.879431110457842	0.4	0.833	3.93074667047293e-68
RPLP2	2.16188010268763e-72	0.570384621009977	1	1	4.01093615451636e-68
SLC29A1	2.99788048723436e-72	-0.378978869011739	0.039	0.326	5.5619676679659e-68
PPP1R15A	5.29775226230794e-72	1.15051587682549	0.848	0.354	9.82891977225992e-68
ATP5F1A	5.44160125348902e-72	-0.927542627332933	0.6	0.913	1.00958028055982e-67
HIST1H1C	5.90303779932958e-72	1.96417578167199	0.801	0.319	1.09519060290962e-67
EPCAM	8.14835612454013e-72	0.770845331052054	1	1	1.51176451178593e-67
TPT1	1.08656207740825e-71	0.487055442125047	1	1	2.01589862221553e-67
CCDC74A	1.1690913390769e-71	-0.221770561762571	0.003	0.163	2.16901516138938e-67
ROR2	1.25204478625941e-71	-0.243559565025028	0.006	0.181	2.32291869194709e-67
STK32B	1.9527347339284e-71	-0.240019448880733	0.003	0.156	3.62290875185735e-67
TMEM59	3.36779455732929e-71	0.90062586822075	0.996	0.958	6.24826924221304e-67
MT-CO3	4.36651707505957e-71	0.690904450526237	1	1	8.10119912935802e-67
NUS1	4.43186432848467e-71	-0.603859348996606	0.127	0.531	8.2224378886376e-67
MINOS1	4.44133185244366e-71	-0.938582392066658	0.731	0.962	8.24000298583873e-67
ALDH3A2	4.94492002992569e-71	-0.93700366306627	0.477	0.892	9.17431013152114e-67
ABCC3	8.20841864904133e-71	-1.03199092497733	0.679	0.944	1.52290791195664e-66
COX7B	1.4060638721142e-70	-0.816945796212611	0.97	1	2.60867030193347e-66
PPP1R1B	1.43745373038299e-70	-0.769014352412931	0.154	0.573	2.66690790597957e-66
IGF1R	1.5283042307062e-70	-0.450307234875754	0.066	0.399	2.83546283922921e-66
HIST1H1E	1.55272421361642e-70	-0.488557655114693	0.066	0.399	2.88076923352254e-66
DUSP1	3.27768452284612e-70	1.43668646875343	0.838	0.333	6.08108809523641e-66
EID1	3.3149112238601e-70	-0.878142708507873	0.531	0.903	6.15015479362765e-66
GPRIN3	4.200039642102e-70	-0.262480403808502	0.009	0.198	7.79233354799184e-66
DDIT3	4.26840897710027e-70	1.2669322392679	0.795	0.281	7.91917917521412e-66
PNISR	4.4109346554636e-70	-0.980446072118797	0.625	0.948	8.18360706628162e-66
PQLC2L	8.95350993648614e-70	-0.256231071707945	0.003	0.156	1.66114469851627e-65
RPLP0	2.30050836977917e-69	0.642360365629706	1	1	4.2681331784513e-65
KHDRBS3	4.84758886449866e-69	-0.342950651838628	0.023	0.257	8.99373162030436e-65
ELF3	6.85731287809108e-69	1.01686404468198	0.996	0.951	1.27223725827224e-64
CTSE	1.26918536927807e-68	-1.0637392193024	0.826	0.962	2.35471961562161e-64
RPS20	1.98706905700522e-68	0.946342727807453	0.988	0.83	3.68660922146179e-64
UBE2B	4.20653425522674e-68	1.06119828803471	0.937	0.681	7.80438300372217e-64
MT-ATP6	6.05672681151356e-68	0.821346721012804	1	1	1.12370452534011e-63
ISYNA1	8.08491752475776e-68	-0.464879600867902	0.071	0.406	1.49999474836831e-63
CAVIN3	1.54886775501067e-67	-0.655159340900039	0.107	0.479	2.8736143458713e-63
RPL6	1.60069343492347e-67	-0.780743615578522	0.999	0.997	2.96976652981352e-63
RBCK1	2.3755219468159e-67	1.14772805945387	0.89	0.566	4.40730586792755e-63
SPINT2	2.69376939289285e-67	0.666594960452552	1	1	4.9977503546341e-63
DZIP1L	3.84872643026425e-67	-0.245393888273908	0.005	0.163	7.14054214606926e-63
CES2	7.45554741089826e-67	1.37510427749572	0.723	0.177	1.38322771114395e-62
DTD1	1.15175541357283e-66	-0.446901071075037	0.06	0.372	2.13685181880168e-62
TSPAN7	1.60174416355717e-66	-0.212570586595532	0.004	0.156	2.97171594664761e-62
NKD1	1.60174416355717e-66	-0.212570586595532	0.004	0.156	2.97171594664761e-62
SERP1	2.95657314454725e-66	0.837964228942323	0.992	0.931	5.48533015507852e-62
ALKBH7	3.36317258992022e-66	0.867135579290711	0.957	0.778	6.23969410607899e-62
SBDS	3.66223970199467e-66	1.00280871365572	0.904	0.618	6.79455331911072e-62
HNRNPA2B1	3.82472164535422e-66	-0.945562840418041	0.821	0.99	7.09600606862569e-62
RPL36A	4.53093998330862e-66	-0.792293548067453	0.945	0.993	8.40625295103248e-62
PTK7	4.75843055628609e-66	-0.508316608666707	0.081	0.424	8.82831621107758e-62
FMOD	9.39619071540353e-66	-0.267685224584653	0.011	0.198	1.74327526342882e-61
PDLIM1	9.987101420049e-66	1.08025101171516	0.876	0.514	1.85290692646169e-61
HIST1H1D	2.08374222170805e-65	-0.582536687922021	0.052	0.344	3.86596694393495e-61
VCP	2.49639885722755e-65	-0.767138952665337	0.357	0.795	4.63156879981428e-61
RNF130	3.22435285698793e-65	-0.434273609835435	0.065	0.385	5.98214185556972e-61
TMSB4Y	4.27885130688308e-65	-0.238070547468049	0.009	0.188	7.93855282966018e-61
OBSL1	4.80243862062951e-65	-0.32743119686381	0.029	0.271	8.90996437285394e-61
LMO4	1.09342527642485e-64	1.21740231469152	0.876	0.583	2.02863191535102e-60
ASS1	1.18725936164921e-64	1.0948220401689	0.744	0.226	2.20272229366777e-60
TMEM154	1.34730997642463e-64	-0.27616120101657	0.017	0.226	2.49966419926062e-60
FOS	1.45978921376129e-64	1.37483545541319	0.974	0.663	2.70834692829133e-60
ABCC1	2.684360000279e-64	-0.522308734257156	0.093	0.441	4.98029310851763e-60
VMP1	3.49991002882053e-64	1.01842832392019	0.899	0.569	6.49338307647072e-60
FAM229B	5.02850125536756e-64	-0.318139939241169	0.026	0.26	9.32937837908343e-60
DBN1	5.15439674529145e-64	-0.463893309274265	0.093	0.448	9.56295228153923e-60
B9D1	7.71656933315986e-64	-0.412037888822798	0.081	0.424	1.43165510838115e-59
SLC9A3R2	1.31578573723194e-63	0.995473779378633	0.916	0.663	2.44117727828642e-59
C15orf48	2.05195827281712e-63	1.96437882986558	0.671	0.118	3.80699818355759e-59
STARD10	2.48967437572714e-63	1.00914385088614	0.963	0.837	4.61909286928656e-59
SERPINB1	2.75271900845242e-63	0.966021413484043	0.997	0.958	5.10711957638178e-59
NUCB2	3.02188232868835e-63	-0.879008621899699	0.613	0.917	5.6064982844155e-59
MT-ND3	5.19228872635468e-63	0.702406919636753	1	1	9.63325327400584e-59
NDUFA1	3.14536708909464e-62	-0.761366725809705	0.894	1	5.83559956039728e-58
BRI3	3.26044072210553e-62	0.960664220488035	0.988	0.941	6.0490956717224e-58
TBC1D4	8.07044143859361e-62	-0.452453638011242	0.079	0.406	1.49730900010227e-57
ACP5	9.66881108275461e-62	-0.214423403610415	0.005	0.153	1.79385452018346e-57
SOBP	9.90298628179956e-62	-0.214423403610415	0.005	0.153	1.83730104486227e-57
C1GALT1	1.37832880512006e-61	-0.893865296655645	0.41	0.809	2.55721343213925e-57
FGFR2	1.92804163228005e-61	-0.422855597108386	0.079	0.406	3.57709564036917e-57
JUN	2.29410077359151e-61	0.9796075477115	0.996	0.844	4.25624516524433e-57
RPS5	3.336609558262e-61	0.675616900372995	1	1	6.19041171344349e-57
CAT	5.66865271772103e-61	-0.622794950669175	0.232	0.67	1.05170513871878e-56
RPS19	5.70685413672824e-61	0.527221745349279	1	1	1.05879264798719e-56
IGF2R	6.94292095928449e-61	-0.488985108920089	0.113	0.479	1.28812012557605e-56
ELF5	1.2449599294606e-60	-0.205769886927823	0.003	0.135	2.30977415712825e-56
SLC49A3	1.28891247358444e-60	-0.192713734102376	0.003	0.135	2.39131931224121e-56
TSPO	2.06484153882886e-60	0.692029513912639	1	1	3.83090050698918e-56
SLC30A9	2.50584189756183e-60	-0.419558210707534	0.084	0.417	4.64908847254646e-56
MT-ND2	4.04868693239296e-60	0.695368152407266	1	1	7.51152886566866e-56
MTFP1	5.23764948190504e-60	-0.375935948190046	0.048	0.319	9.71741108377841e-56
APCDD1	5.85297687713971e-60	-0.254901438743736	0.006	0.16	1.08590280001573e-55
PSMB1	8.51722075237335e-60	-0.726058314023699	0.848	0.976	1.58019996618783e-55
CSGALNACT1	8.64774579157856e-60	-0.275275310409604	0.012	0.191	1.60441627671157e-55
SLC25A6	9.27096615414669e-60	-0.768211126672415	0.961	0.993	1.72004235057884e-55
PRSS22	1.17317851034198e-59	1.06977176826378	0.741	0.25	2.17659809023748e-55
ADGRG6	1.50816005004463e-59	-0.378901552093213	0.054	0.337	2.7980893408478e-55
NACA	2.30414338128155e-59	0.488424897744784	1	1	4.27487721529167e-55
PPIB	3.01744125119479e-59	-0.780695031069858	0.965	1	5.5982587533417e-55
EPHB3	3.14508981623718e-59	-0.535321718196832	0.073	0.382	5.83508513606484e-55
CLCN4	3.20628215059727e-59	-0.262710329006527	0.018	0.215	5.94861527400311e-55
MAP9	3.25209330206394e-59	-0.326237406939766	0.037	0.285	6.03360870331923e-55
HIGD2A	3.94532844744974e-59	0.734709471807922	0.989	0.924	7.31976786855351e-55
TMEM54	5.33971879680002e-59	1.01385248883834	0.925	0.635	9.90678028370307e-55
ERO1A	5.7943684557349e-59	1.26159165845527	0.825	0.441	1.0750291795925e-54
FAIM2	6.30423210273006e-59	-0.38694882092881	0.039	0.288	1.16962418201951e-54
VDAC1	9.15387121549692e-59	0.718922898135182	1	0.962	1.69831772661114e-54
ZG16B	1.14751815724441e-58	-1.40362648190948	0.634	0.892	2.12899043713555e-54
HIST1H2AC	1.32474186990763e-58	1.04376655286577	0.611	0.087	2.45779359123963e-54
RPL30	1.44637960079411e-58	0.500661387083532	1	1	2.68346807335331e-54
IRAK3	1.48556118195021e-58	-0.286901215489685	0.021	0.226	2.75616166087223e-54
GAK	1.64059056817392e-58	-0.586685387267248	0.186	0.594	3.04378768113307e-54
IRX3	2.02300435404149e-58	-0.2731449025294	0.018	0.215	3.75327997805318e-54
CFAP300	2.21262912399617e-58	-0.251662923065472	0.014	0.194	4.10509081375009e-54
ETV1	2.42991186789947e-58	-0.19836855344802	0.005	0.146	4.50821548851388e-54
GID8	4.10264375541211e-58	0.986664412158303	0.717	0.236	7.61163495941609e-54
SLC26A9	4.59210539017857e-58	-0.392664768678742	0.056	0.337	8.5197331303983e-54
POLR1D	6.41232807974973e-58	0.862555657196823	0.966	0.858	1.18967922863597e-53
MT1G	1.06386139688171e-57	-0.279094423540623	0.007	0.16	1.97378204963464e-53
FBP2	1.79547338673401e-57	-0.230851688476081	0.009	0.167	3.3311417744076e-53
SERPINB6	2.40265536616845e-57	0.846385027202053	0.968	0.896	4.45764650085233e-53
BTF3	2.47244755472268e-57	0.518634866022803	1	0.993	4.58713194827699e-53
ZC2HC1A	5.20613674840214e-57	-0.199651578178273	0.007	0.156	9.65894550931049e-53
SHISA6	5.46864814645942e-57	-0.410662527284998	0.058	0.337	1.01459829061262e-52
ANKRD65	7.6347259877178e-57	-0.294102084987987	0.025	0.236	1.41647071250128e-52
PLGRKT	8.86903754004504e-57	-0.626426842799625	0.246	0.667	1.64547253480456e-52
DGKD	1.07315906031999e-56	-0.559172205907879	0.133	0.497	1.99103200461167e-52
ATP1A1	1.32596878627292e-56	-0.825382770387379	0.845	0.976	2.46006988917216e-52
AGR3	2.51572608797817e-56	1.01766335152383	0.939	0.698	4.66742661102591e-52
OSER1	3.29309967777462e-56	0.969594290496976	0.657	0.16	6.10968783217525e-52
MIF	3.60448204522229e-56	0.906727554880378	0.964	0.872	6.68739553850092e-52
MCM3	5.24525726340649e-56	-0.703750970630419	0.203	0.597	9.73152580079807e-52
TSPAN8	5.26585324219612e-56	0.954064846712025	0.998	0.983	9.76973752024645e-52
NARS	5.71680404536876e-56	-0.717062291632347	0.383	0.785	1.06063865453727e-51
TSPAN3	6.70690693574066e-56	0.831025298333537	0.971	0.844	1.24433244378796e-51
STK33	7.28644586592939e-56	-0.189651336346911	0.004	0.135	1.35185430150588e-51
PALD1	1.24489769063574e-55	-0.307559532247576	0.026	0.236	2.30965868543649e-51
QPRT	1.92773981750059e-55	-0.29965433416223	0.021	0.219	3.57653568340885e-51
PTGES3	2.10601065204375e-55	0.764485763474161	0.983	0.917	3.90728156273678e-51
WDR83OS	3.83997076159788e-55	0.72267680028109	0.963	0.865	7.12429775399254e-51
NR2F2	3.87461183823336e-55	-0.756114662444539	0.287	0.694	7.18856734347434e-51
