p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RPL18A	3.74444208050197e-144	0.443145738521119	1	1	6.47002147089935e-140
HNRNPA1	5.48340886761665e-144	-0.674369117104665	0.88	0.974	9.47478218235481e-140
PFN1	1.99483080608868e-142	-0.690918574992264	0.802	0.937	3.44686814984064e-138
PPIA	2.02808643743203e-142	-0.566830982100329	0.985	0.994	3.5043305552388e-138
FUCA1	2.18575200969327e-142	-0.635889494571494	0.201	0.607	3.77676089754901e-138
IMP3	6.11825282665406e-142	-0.60485605186971	0.246	0.656	1.05717290591756e-137
PHGDH	5.07737836167551e-141	-0.786788665190173	0.274	0.656	8.77320207113912e-137
HSP90B1	7.29300996690246e-141	-0.671986031130556	0.931	0.985	1.26015919218108e-136
HSPA8	2.34860059938383e-140	0.864354671991609	0.935	0.759	4.05814697567532e-136
PLBD1	2.60392084913126e-140	0.564909428872344	0.387	0.068	4.4993148352139e-136
LGALS3	2.86596744585179e-140	-0.55740709448474	0.984	0.998	4.95210514968731e-136
MT-ND1	1.41604651105432e-138	0.45293289760232	1	1	2.44678676645077e-134
POLR2L	2.85322084251763e-138	-0.71409261136691	0.562	0.861	4.93008029378621e-134
MISP	2.34834293528335e-136	-0.63292645284057	0.186	0.582	4.0577017578761e-132
CCDC68	2.6352123375693e-136	-0.579066952443391	0.085	0.457	4.55338339808599e-132
TRNP1	3.9337839364315e-136	-0.769834729167754	0.39	0.758	6.79718526375998e-132
CALM1	1.13437822998371e-135	-0.607766229513762	0.873	0.976	1.96009214358885e-131
HLA-DQB1	6.30185303582583e-135	-0.59751025692623	0.034	0.375	1.08889718606034e-130
CTSD	2.66364559690319e-134	-0.6493647016616	0.736	0.951	4.60251322688903e-130
ZNHIT1	4.748967658064e-134	-0.628689443003474	0.56	0.861	8.20574121636879e-130
DCXR	1.20979536922883e-133	-0.627912758579852	0.305	0.691	2.0904054184905e-129
UQCRH	5.54840877669882e-133	0.533049996826637	0.999	0.986	9.58709552525788e-129
STRAP	6.77981288013992e-133	0.822122671929656	0.722	0.476	1.17148386755938e-128
DUSP4	1.42147262177805e-132	-0.620272314049359	0.21	0.606	2.45616254317029e-128
ENSA	2.80335374860124e-132	-0.612705967147936	0.272	0.662	4.84391494220809e-128
RPS3A	1.61073172186094e-131	0.431295625322631	1	1	2.78318334220353e-127
CNPY2	3.31479348921511e-131	-0.581570380211193	0.221	0.613	5.72763167001479e-127
TMED9	9.4082990971953e-131	-0.619396179198343	0.519	0.846	1.62566000100438e-126
CREB3L1	2.61946724977063e-130	-0.538271165589269	0.097	0.47	4.52617746087867e-126
LGALS4	2.78378608022622e-129	-0.652825624119382	0.991	0.996	4.81010396802288e-125
CAMK2N1	6.22679509503528e-129	-0.698799692251122	0.789	0.941	1.07592792447115e-124
CMBL	2.4652096921903e-128	-0.619511912968907	0.189	0.566	4.25963582713561e-124
EDF1	2.99234848030887e-128	-0.591483312840453	0.859	0.969	5.17047893912569e-124
EID1	3.7952315414294e-128	-0.636692330861185	0.481	0.811	6.55778058043586e-124
MT1E	1.31161909868347e-127	-0.612061348118489	0.044	0.38	2.26634664061517e-123
PLPP2	1.76692346884911e-127	-0.637979680566856	0.319	0.695	3.05306706182438e-123
MIF	7.97079642088677e-127	0.750830086197416	0.842	0.633	1.37727391356502e-122
NUCB1	1.60653659254735e-126	-0.568257364047511	0.206	0.585	2.77593457826257e-122
RND3	1.68392144177171e-126	0.798740585323519	0.545	0.218	2.90964785923734e-122
ASNS	1.75215699295562e-126	-0.594167323564747	0.103	0.468	3.02755206812802e-122
EIF3E	2.94162508002641e-126	0.62340401827102	0.979	0.919	5.08283397577764e-122
ERP29	3.5527844991997e-126	-0.600612828102371	0.719	0.909	6.13885633616716e-122
DUOX2	2.05148616040371e-125	-0.663552414121238	0.033	0.356	3.54476293656157e-121
SELENOM	5.24047127166813e-125	-0.502474254938085	0.024	0.338	9.05501031031537e-121
SOD1	6.53542159829228e-125	-0.62567622001211	0.862	0.948	1.12925549796892e-120
S100A6	6.94498339144019e-125	-0.478300336382669	1	1	1.20002368020695e-120
EEF1A1	3.28633947294913e-124	0.380708623797479	1	1	5.67846597530881e-120
CDK2AP2	7.31747005852647e-124	-0.599512116217252	0.28	0.657	1.26438565141279e-119
HIBCH	1.50519810748444e-123	-0.536184221468875	0.095	0.445	2.60083180992237e-119
TMBIM4	1.84677169589147e-123	-0.55693791949043	0.195	0.572	3.19103681333086e-119
TRIM31	4.39209069031508e-123	0.728879173361237	0.558	0.235	7.58909350379543e-119
CD24	4.67232713317472e-123	-0.685905210016564	0.562	0.837	8.07331405341259e-119
TSTD1	1.48235059298437e-122	-0.61173847912339	0.468	0.801	2.56135358961768e-118
KLF6	2.09338810630452e-122	0.783469693236966	0.722	0.403	3.61716530888358e-118
NDUFA7	2.8516792609174e-122	-0.475273232991217	0.052	0.379	4.92741659493918e-118
BCAT1	3.47658095391033e-122	0.448830881550091	0.221	0.002	6.00718423026167e-118
CFL1	3.7271276554461e-122	-0.532318346213606	0.967	0.992	6.44010387584531e-118
P4HB	5.19294913673034e-122	-0.587051402790848	0.825	0.954	8.97289681335636e-118
PPDPF	1.66203013516246e-121	-0.541250212836503	0.852	0.973	2.87182187054722e-117
PHGR1	2.82458444039222e-121	0.731897461324061	0.747	0.364	4.88059945455371e-117
ONECUT3	3.6993667318186e-121	-0.481956399333156	0.049	0.374	6.39213577590935e-117
MLPH	5.0144546115294e-121	-0.56645131999732	0.175	0.544	8.66447612326166e-117
CLIC1	2.2073129221148e-120	-0.541537411501031	0.977	0.992	3.81401599812216e-116
KRT8	7.15921484017708e-120	-0.686543268582207	0.999	1	1.2370407322342e-115
GSTM4	1.68104777006188e-119	-0.546929401122801	0.066	0.396	2.90468244188992e-115
SERTAD1	1.4141119896898e-118	-0.539822999715767	0.157	0.52	2.44344410698501e-114
FKBP1A	2.18306680670047e-118	-0.575513425274015	0.274	0.643	3.77212113529775e-114
AKR7A3	1.23060650976731e-117	-0.758326498694367	0.297	0.639	2.12636498822694e-113
ANXA3	1.55191058007111e-117	0.818382586611472	0.745	0.477	2.68154629130487e-113
BHLHE41	1.74744806172159e-117	0.818688966800288	0.665	0.4	3.01941550584874e-113
HLA-DRB1	1.76892756564803e-117	-0.550772518205501	0.033	0.341	3.05652994068322e-113
IGFBP2	2.50577446219759e-117	-0.760651317505356	0.466	0.789	4.32972769323122e-113
ADAM15	1.03320488127548e-116	-0.517672847864429	0.136	0.49	1.7852747143559e-112
SRSF5	1.21139871147211e-116	-0.577683819826951	0.765	0.929	2.09317583355266e-112
GAMT	2.63952593255418e-116	-0.484420604432166	0.04	0.349	4.56083685886037e-112
FXYD5	4.13400983687925e-116	-0.579050327517629	0.407	0.766	7.14315559714366e-112
POLD4	1.60825724124288e-115	-0.440982578084752	0.031	0.332	2.77890768714357e-111
RAC2	2.44963727982315e-115	-0.447956890606438	0.024	0.32	4.23272825580642e-111
SCG5	3.28887470498109e-115	-0.491571729236755	0.005	0.284	5.68284660273683e-111
MMP1	3.86402800619199e-115	-1.057534632898	0.026	0.322	6.67665399189913e-111
TMEM259	5.27392287663562e-115	-0.502983135948608	0.155	0.51	9.11281133853869e-111
NDUFC2	6.21469308179425e-115	-0.576665271578141	0.669	0.893	1.07383681760323e-110
TSPAN8	3.05148527076466e-114	0.613749941662071	1	0.998	5.27266139935426e-110
RPL15	1.44528004967328e-113	0.390221301805401	1	0.999	2.49729939783047e-109
MUC5B	4.68003033795285e-113	-0.702683503401891	0.041	0.342	8.08662442094873e-109
HSPA5	4.78108087700747e-113	-0.6841267083849	0.727	0.908	8.2612296473812e-109
PDHB	9.1630367651976e-113	-0.488554445010024	0.117	0.457	1.58328112265849e-108
SPCS1	2.71433086622267e-112	-0.566493362759282	0.638	0.887	4.69009230374615e-108
ITM2B	2.92837011850976e-112	-0.538355255821493	0.95	0.99	5.05993072777302e-108
CA9	3.68883218691733e-112	-0.907919788146221	0.693	0.858	6.37393313577446e-108
SARAF	7.69655487011475e-112	-0.579358117351921	0.459	0.781	1.32988771600713e-107
CD44	1.14147635463449e-111	-0.584998388880684	0.252	0.611	1.97235699317294e-107
IGFBP4	4.66667262757689e-110	-0.536418794834307	0.118	0.455	8.06354363319012e-106
TAX1BP3	4.87474062602211e-110	-0.46506751514487	0.094	0.421	8.4230643277036e-106
CTSZ	1.2690622468036e-109	-0.564252330352491	0.272	0.628	2.19281265625194e-105
IGSF8	2.77996988856228e-109	-0.422196140443211	0.046	0.349	4.80350997044677e-105
LRP5	4.13819705002292e-109	-0.475375365572939	0.109	0.44	7.15039068273461e-105
PTMA	9.48865332996641e-109	0.632571349049496	1	1	1.6395444088849e-104
SLC6A20	5.94190054230175e-108	-0.457681780301902	0.044	0.34	1.02670099470432e-103
NDUFB8	1.00723374119485e-107	-0.573545537004388	0.413	0.736	1.74039918141058e-103
VMP1	4.13907895473678e-107	0.662336084058652	0.743	0.483	7.15191452588967e-103
PRDX5	4.27092801706005e-107	-0.540048853416963	0.863	0.958	7.37973652067806e-103
RNASEH2C	4.72026447722274e-107	-0.478098559853375	0.138	0.476	8.15614499019317e-103
ZG16B	8.15067429279153e-107	-0.730109699094356	0.132	0.458	1.40835501105145e-102
KLF4	1.02766449191711e-106	-0.540029013105875	0.174	0.522	1.77570147558357e-102
SF3B6	1.22751976800555e-106	0.598525888597339	0.929	0.858	2.1210314071368e-102
H2AFJ	1.65968357232006e-106	0.773277621196643	0.857	0.72	2.86776724461183e-102
P4HTM	1.79299929604983e-106	-0.459331753703705	0.102	0.427	3.09812348364451e-102
MT-ND4L	2.78714167927857e-106	0.495233785651421	0.998	0.986	4.81590210762544e-102
RAMP1	4.19432713822152e-106	-0.617872236147839	0.291	0.657	7.24737786213297e-102
RPL41	2.34370461803078e-105	-0.350346375890174	1	1	4.04968720949539e-101
AC008397.1	2.37469080768644e-105	-0.4849076814368	0.079	0.387	4.1032282466014e-101
CTDSPL	5.87647864530263e-105	-0.534832753463562	0.235	0.584	1.01539674512184e-100
NDUFS7	1.08269083742725e-104	-0.545697391027262	0.317	0.657	1.87078149799054e-100
MRPS26	9.81830633189808e-104	-0.514300069160338	0.239	0.586	1.69650515108867e-99
OST4	1.54689728596897e-103	-0.499494030949534	0.875	0.958	2.67288382042578e-99
RABAC1	4.24737624055477e-103	-0.581476747437563	0.357	0.694	7.33904140605458e-99
RPL35	5.03477527846546e-103	0.368380354533583	1	1	8.69958820366047e-99
RPL27	6.55960425382391e-103	0.412248955590769	1	1	1.13343401901823e-98
MPST	5.38165029503991e-102	-0.558072813764874	0.607	0.839	9.29895354479947e-98
PSORS1C1	1.62711442530373e-101	-0.451280599669657	0.107	0.425	2.81149101548231e-97
GSTM3	4.33916070618518e-101	-0.574219945553708	0.358	0.688	7.49763578421737e-97
CDC42EP1	1.33655103832166e-100	-0.512975848881906	0.257	0.599	2.309426539116e-96
FIS1	6.18097922396166e-100	-0.541996874161969	0.494	0.789	1.06801140010833e-95
CITED4	9.11443487627483e-100	-0.521968686050362	0.152	0.48	1.57488320227153e-95
CAPN8	2.92832084171117e-99	-0.521506283109863	0.257	0.592	5.05984558239273e-95
PSMB8	5.99567735541152e-99	-0.514833842172978	0.265	0.611	1.03599309024156e-94
INPP1	1.63945247614966e-98	-0.458638638154121	0.12	0.434	2.832809933539e-94
HLA-A	2.46717296168197e-98	-0.522331160347957	0.967	0.993	4.26302816049028e-94
HES4	3.15773913343725e-98	0.53324291863242	0.37	0.1	5.45625744866622e-94
ALDH1A3	1.96789853663699e-97	0.464505687409454	0.249	0.031	3.40033188145506e-93
PDIA3	1.6128697786805e-96	-0.53611485121303	0.748	0.916	2.78687769058203e-92
FAM3D	1.77182924084662e-96	-0.423388711837019	0.022	0.281	3.06154374525887e-92
BCAM	2.34748943870147e-96	-0.479874790181891	0.084	0.375	4.05622700113227e-92
CARHSP1	3.28905597399625e-96	-0.522502463146919	0.476	0.792	5.68315981746813e-92
RPL37	1.90997325937218e-95	0.328573487930307	1	1	3.30024279486918e-91
G0S2	6.64350407524533e-95	-0.788560619593945	0.032	0.291	1.14793106916164e-90
PPIB	1.17630304194187e-94	-0.515495227058177	0.85	0.945	2.03253402617136e-90
PLA2G10	2.04218814679992e-94	-0.458743778539655	0.086	0.377	3.52869689885558e-90
RFLNA	2.19337129940392e-94	-0.382658106484198	0.01	0.251	3.78992626824003e-90
GNAI2	3.19837426563246e-94	-0.423586012811603	0.118	0.426	5.52647089358632e-90
COL18A1	4.39730203100294e-94	-0.400534992653458	0.037	0.299	7.59809817936997e-90
JUND	9.01072514808672e-94	-0.579552605544501	0.856	0.949	1.5569631983379e-89
CD9	3.82020439146902e-93	0.99865374301452	0.992	0.984	6.60093116801931e-89
ASPH	5.72378281477952e-93	-0.600278650748783	0.74	0.904	9.89012432565753e-89
PCYT2	1.00767545514227e-92	-0.463054723545848	0.165	0.482	1.74116241894033e-88
RBM3	1.69618869661696e-92	-0.539213965592074	0.292	0.614	2.93084444888445e-88
STUB1	2.49471654167032e-92	-0.488830488487065	0.371	0.7	4.31062071235215e-88
BACE2	3.48914618246465e-92	-0.5901932999543	0.499	0.796	6.02889568868067e-88
RSRP1	3.76441096397999e-92	-0.506640500447306	0.271	0.603	6.50452570466103e-88
LRPAP1	4.29224310260805e-92	-0.502761286135263	0.274	0.602	7.41656685699645e-88
PDZK1IP1	5.87625527069164e-92	-0.62331365416658	0.236	0.567	1.01535814822281e-87
CA2	8.20670936600638e-92	-0.473769283251767	0.042	0.303	1.41803731135224e-87
ABCC3	1.19274456281582e-91	-0.584940669920041	0.453	0.742	2.06094333008946e-87
AKR7A2	1.51072239367701e-91	-0.580693354817749	0.55	0.798	2.6103772240345e-87
FOXA3	1.89443823626118e-91	-0.374967146838957	0.026	0.274	3.2733998284357e-87
ARHGDIA	2.59149403230734e-91	-0.472105284604707	0.239	0.565	4.47784253842385e-87
MAP1LC3A	4.13176616790101e-91	-0.364298030533553	0.036	0.292	7.13927876151616e-87
PLD3	7.30430173819655e-91	-0.447537751498869	0.179	0.495	1.26211029734298e-86
ABHD14B	9.86787172362584e-91	-0.401945114596232	0.091	0.378	1.70506955512531e-86
TPI1	1.92159482540405e-90	0.585241368592456	0.981	0.944	3.32032369881566e-86
AL121761.2	3.180915298823e-90	0.690392810461644	0.567	0.303	5.49630354483625e-86
SELENOW	3.32255014954332e-90	-0.466836966640966	0.935	0.98	5.7410344033959e-86
COMT	1.95547328814032e-89	-0.510155730877628	0.485	0.775	3.37886229457766e-85
DUOXA2	2.56449922452525e-89	-1.12988866173475	0.027	0.272	4.43119821005718e-85
RPS27A	2.98223839648877e-89	0.335348238772037	1	1	5.15300972529295e-85
C19orf33	4.59882023008651e-89	-0.526472666856785	0.759	0.91	7.94630147556649e-85
TM7SF2	7.84646994834336e-89	-0.456532809229324	0.148	0.455	1.35579154237425e-84
EFNB2	8.52794409165852e-89	-0.457449951154581	0.115	0.408	1.47354345959768e-84
SMIM22	1.02366416949902e-88	-0.489780581111979	0.597	0.841	1.76878931847735e-84
RPL31	1.739063762166e-88	0.466838897330462	0.995	0.97	3.00492827464664e-84
BAIAP2L2	1.77763291991086e-88	-0.428855666898949	0.111	0.399	3.07157192231397e-84
CD82	3.47568749056327e-88	-0.490670244590818	0.377	0.698	6.00564041494427e-84
CCDC12	3.77613823790753e-88	-0.437092749282328	0.172	0.476	6.52478926128043e-84
CHAC1	3.87896102456331e-88	-0.39212531281424	0.029	0.274	6.70245675434295e-84
RPL22	3.94188128850159e-88	0.364397562477974	1	1	6.8111766784019e-84
CSRP1	4.75811762529946e-88	-0.426595450974282	0.115	0.406	8.22155144475494e-84
CAPG	4.96000537062057e-88	-0.479265804146342	0.2	0.52	8.57039327989528e-84
CAPN2	4.96914648669337e-88	-0.508715033569235	0.436	0.753	8.58618821435748e-84
CALM2	5.07965713979067e-88	-0.428035996875563	0.959	0.992	8.77713957184431e-84
PYCARD	5.28940110683102e-88	-0.511399480387566	0.372	0.695	9.13955617249332e-84
MGST2	1.39868368922375e-87	-0.547465657233397	0.534	0.78	2.41678554660972e-83
PSMB9	1.93286455373993e-87	-0.431120743404759	0.146	0.455	3.33979666240722e-83
HINT1	2.45131852818837e-87	0.428201217358408	0.997	0.98	4.23563328485668e-83
